,origin_code,origin_station,destination_code,destination_station,AMpeak_trips,PMpeak_trips
21900,670,Paddington                    ,511,Baker Street                  ,273,122
21901,670,Paddington                    ,512,Balham                        ,1,113
21902,670,Paddington                    ,513,Bank / Monument               ,474,57
21903,670,Paddington                    ,501,Barbican                      ,443,114
21904,670,Paddington                    ,514,Barking                       ,0,30
21905,670,Paddington                    ,516,Barons Court                  ,31,15
21906,670,Paddington                    ,517,Bayswater                     ,0,96
21909,670,Paddington                    ,787,Bermondsey                    ,68,28
21910,670,Paddington                    ,520,Bethnal Green                 ,0,13
21911,670,Paddington                    ,521,Blackfriars                   ,10,0
21912,670,Paddington                    ,522,Blackhorse Road               ,0,22
21913,670,Paddington                    ,524,Bond Street                   ,64,26
21914,670,Paddington                    ,525,Borough                       ,91,76
21915,670,Paddington                    ,527,Bounds Green                  ,0,110
21916,670,Paddington                    ,528,Bow Road                      ,0,5
21918,670,Paddington                    ,778,Brixton                       ,75,229
21919,670,Paddington                    ,530,Bromley-by-Bow                ,29,2
21921,670,Paddington                    ,534,Caledonian Road               ,2,252
21922,670,Paddington                    ,535,Camden Town                   ,205,1
21923,670,Paddington                    ,788,Canada Water                  ,17,165
21924,670,Paddington                    ,852,Canary Wharf                  ,750,66
21925,670,Paddington                    ,884,Canning Town                  ,116,65
21926,670,Paddington                    ,536,Cannon Street                 ,108,0
21927,670,Paddington                    ,537,Canons Park                   ,2,0
